Demographic variable,Response,Count,ees,mw_p,op_p,lm_p,mt_p,ld_p,if_p,rw_p,pb_p,lc_p,HSE_index,PERMA_index,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,B26,B27,B28,B29,B30,B31,B32,B33,B34,B35,B36,B37,B38,B39,B40,B41,B42,B43,B44,B45,B46,B47,B48,B49,B50,B51,B52,B53,B54,B55,B56,B57,B58,B59,B60,C01_1,C01_2,C01_3,C01_4,D01,D02,D03,E01 [4],E02_01,E02_02,E02_03,E02_04,E02_05,E02_06,E02_07,E02_08,E02_09,E02_10,E02_11,E02_12,E02_13,E02_14,E02_15,E02_16,E02_17,E02_18,E02_19,E02_20,E03 [4],E03A_01,E03A_02,E03A_03,E03A_04,E03A_05,E03A_06,E03A_07,E03A_08,E03A_09,E03A_10,E03A_11,E03A_12,E03A_13,E03A_14,E03A_15,E03A_16,E03A_17,E04_01,E04_02,E04_03,E04_04,E04_05,E04_06,E04_07,E04_08,E04_09,E04_10,E04_11,E04_12,E05,E06_A,E06_B,E06_C,E06_D,W01,W02,W03,W04,J04B,W05,W07,W08
J06,Has childcare responsibilities,2048,65.385,75.786,83.374,71.242,82.031,59.672,76.734,71.829,38.593,55.334,29.13,72.636,88.856,81.676,77.723,57.815,72.665,81.543,85.198,74.585,83.513,81.1,68.2,77.077,79.834,68.447,66.126,67.646,45.472,86.67,83.081,76.307,66.439,55.066,61.146,55.941,78.484,83.765,69.706,75.012,68.573,75.403,85.854,70.597,62.959,67.417,37.86,43.863,34.018,70.752,64.628,58.194,58.806,43.857,41.935,66.618,41.047,51.834,68.002,63.814,60.157,58.855,57.206,52.444,41.087,87.39,69.062,71.639,69.765,76.284,63.178,69.072,7.647,11.225,23.529,57.598,88.883,69.328,69.013,19.12,13.846,25.897,21.538,14.359,19.744,2.308,27.692,7.179,4.359,23.077,11.026,6.154,3.077,8.205,13.333,11.795,16.41,23.846,16.41,4.359,15.144,20.712,13.592,39.482,36.893,4.854,46.926,50.485,30.097,46.278,40.129,28.803,9.061,11.974,13.592,19.417,17.476,2.265,48.544,12.298,37.217,33.01,4.531,1.942,1.294,1.942,2.589,1.942,4.531,7.767,39.159,10.927,35.621,69.18,44.628,55.817,63.913,51.497,37.948,60.157,63.075,9.696,74.241
J06,No childcare responsibilities,13890,63.745,74.679,82.159,73.093,82.621,58.401,79.939,72.182,38.656,53.924,28.005,71.241,88.046,80.182,76.187,55.117,73.841,80.753,83.571,75.463,86.968,84.716,68.041,79.892,83.479,70.597,68.16,72.698,40.882,87.545,84.243,76.063,64.335,54.503,61.026,53.709,83.83,87.667,71.353,76.91,68.294,74.546,86.705,72.2,62.141,69.204,38.27,44.32,33.377,71.647,65.578,53.709,57.551,39.575,39.292,66.085,39.521,52.397,65.315,65.124,51.067,55.814,52.937,50.241,34.92,89.095,70.813,71.116,70.27,77.701,61.311,71.562,7.436,14.223,34.553,43.787,91.147,62.801,69.902,12.349,19.708,5.497,21.93,9.24,20.994,3.099,26.023,3.86,2.164,21.111,7.661,0.76,2.515,5.497,21.345,7.602,13.977,12.632,15.263,4.62,11.719,15.2,10.769,28,37.969,1.108,40.369,47.077,27.815,37.046,38.092,28.246,3.692,2.154,10.646,17.354,15.938,1.723,45.225,13.432,30.499,27.542,4.683,3.574,1.602,2.341,2.957,1.787,2.649,5.484,44.664,16.719,46.65,64.954,34.855,51.86,56.924,49.376,35.673,58.209,64.266,11.052,76.914
J07,Heterosexual/straight,[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c]
J07,Gay or Lesbian,8952,64.811,76.6,83.467,73.58,83.482,58.739,81.269,73.15,38.048,55.241,27.262,72.683,89.044,82.156,78.217,58.66,74.869,82.065,84.893,75.822,86.594,84.988,69.903,80.264,83.428,71.253,68.595,72.163,42.825,88.2,84.684,77.575,65.336,54.323,61.226,54.012,84.369,88.393,72.75,79.678,70.151,75.842,87.401,73.306,62.346,69.939,37.802,43.178,33.158,71.726,66.26,55.288,58.498,41.255,40.315,67.611,42.043,54.307,67.088,65.131,54.479,57.403,54.399,51.65,38.225,89.475,71.539,71.696,72.73,80.711,62.3,71.578,6.738,13.296,31.805,48.161,91.486,67.595,72.338,11.142,17.54,7.863,17.641,9.274,15.323,1.613,24.899,4.637,2.923,17.238,8.871,1.008,1.915,5.343,30.746,6.956,15.827,13.105,15.323,4.94,10.813,15.026,8.808,28.808,38.964,2.073,40.829,48.705,27.358,36.788,38.342,26.943,3.42,3.523,10.363,14.715,15.44,1.762,44.075,12.058,31.809,30.561,5.509,3.43,1.247,1.767,2.703,1.247,2.911,5.405,42.264,14.028,46.283,66.109,36.453,56.282,61.959,53.569,39.741,64.282,67.587,8.567,77.408
J07,Bisexual,6091,63.223,72.64,81.268,71.797,81.515,58.765,77.55,70.864,39.829,53.236,29.257,70.032,87.071,78.347,74.312,51.424,72.051,79.753,82.777,74.482,86.177,83.064,66.058,78.287,82.015,69.039,67.332,71.873,39.674,86.485,83.476,74.577,63.992,55.201,61.308,54.59,81.712,85.588,69.176,73.756,66.508,73.389,85.46,70.768,62.008,67.237,39.113,46.16,34.232,71.518,64.925,54.023,57.744,39.556,39.378,64.155,37.313,50.485,65.045,65.636,50.156,55.72,53.24,49.597,32.79,88.051,69.847,71.292,67.198,73.923,61.188,70.886,8.263,14.696,35.329,41.712,90.067,59.087,67.184,15.515,20.807,10.51,24.098,10.191,25.265,2.017,29.087,4.777,2.866,25.372,7.856,2.548,2.866,5.839,10.297,9.766,13.588,16.561,14.862,4.565,14.025,18.075,14.906,32.394,37.441,1.995,42.958,47.418,29.695,41.667,38.498,30.047,5.986,4.577,12.793,20.423,16.315,1.643,47.831,14.42,33.411,25.557,3.4,3.283,2.11,2.814,3.634,2.227,2.696,6.448,46.235,17.004,42.857,64.858,39.186,47.995,53.229,44.826,30.703,51.491,60.537,13.197,75.725
J07,Other,1272,56.2,66.411,72.917,66.5,75.236,50.354,68.142,65.105,32.966,43.202,33.222,66.556,81.339,72.971,67.77,45.383,64.673,71.384,74.45,69.74,81.309,78.251,59.023,72.305,78.11,65.539,59.652,64.724,36.859,81.983,77.026,66.745,56.289,48.7,51.341,45.161,71.597,78.96,60.695,61.369,57.154,67.27,81.353,62.382,58.065,64.28,32.494,37.736,28.56,63.05,53.543,41.765,43.632,29.638,30.448,56.84,29.921,39.779,51.262,52.009,41.884,43.026,42.014,39.243,27.603,82.9,60.079,59.148,59.953,64.933,53.816,61.337,13.212,13.37,29.351,44.066,88.302,56.596,56.991,21.951,18.345,10.432,30.576,17.266,24.46,10.072,24.82,4.317,1.439,24.46,11.151,1.799,5.755,8.633,12.23,10.791,15.827,17.986,20.504,4.317,16.391,17.308,7.692,30.288,34.615,0.481,41.827,46.635,26.923,40.865,39.423,30.288,6.731,3.365,11.538,23.558,21.154,3.846,43.269,12.019,29.327,35.577,4.808,2.404,0.962,1.923,2.885,3.365,3.846,6.731,40.865,15.049,34.3,71.498,32.941,43.596,47.764,43.176,34.026,49.324,54.777,16.999,68.258
a,No religion,10417,63.144,74.347,82.392,73.021,82.54,58.477,80.316,71.927,38.967,54.148,27.915,70.87,87.624,79.627,75.541,54.69,74.229,81.075,83.703,75.545,87.368,85.393,67.772,80.111,83.535,69.946,67.653,73.11,39.684,87.447,84.23,75.929,64.121,53.679,62.06,53.96,84.355,88.238,71.376,77.298,67.707,74.157,86.378,71.972,61.898,69.442,38.561,44.516,33.823,72.257,65.971,54.012,57.765,39.183,39.197,66.141,39.427,53.335,64.473,65.19,49.514,54.966,51.984,50.13,33.712,89.224,71.886,71.672,70.572,77.691,61.186,71.729,7.579,14.416,35.227,42.777,91.17,62.072,70.235,11.712,18.473,8.374,19.869,7.882,21.675,3.038,27.833,3.612,2.053,22.332,7.964,1.806,0.575,5.172,20.361,6.979,14.614,14.286,14.532,4.433,11.286,15.83,11.83,28.766,38.128,0.851,41.447,47.574,27.149,36.085,36.426,28.766,3.83,3.574,10.723,18.553,15.915,1.021,46.462,13.64,29.668,26.939,4.263,3.41,1.449,2.302,3.154,1.876,3.069,4.945,44.492,17.591,46.22,66.209,34.165,51.158,55.868,48.275,35.391,56.65,63.911,10.989,77.377
J08,Christian,3853,66.944,77.502,84.32,73.4,83.753,60.267,80.388,74.297,39.239,55.953,27.534,73.927,90.673,83.928,80.198,58.57,74.143,82.684,86,75.344,86.312,82.835,69.828,78.883,83.134,71.749,69.359,70.845,45.601,88.675,84.867,77.714,67.117,57.432,61.206,55.365,82.649,87.14,72.723,79.044,72.141,77.708,88.27,73.985,63.868,69.8,38.234,45.974,33.524,71.592,66.181,57.876,59.771,43.841,41.914,68.491,41.866,52.354,70.631,66.207,59.506,61.3,59.048,52.793,40.869,89.371,70.369,72.325,72.091,80.711,63.634,71.775,5.748,12.172,28.791,53.29,91.021,68.969,72.342,14.237,18.681,10.623,23.443,9.524,15.934,2.015,22.711,3.663,3.48,21.429,7.692,1.832,4.029,6.96,23.443,9.524,15.201,14.286,15.568,4.212,12.516,13.929,9.563,31.809,36.798,1.04,39.917,46.985,30.146,41.58,40.333,27.651,5.613,4.366,12.682,17.672,15.8,2.703,43.867,11.227,34.927,30.561,6.237,3.119,1.455,1.871,2.287,1.871,2.495,5.405,43.958,13.559,43.633,65.625,41.706,58.322,65.474,54.948,39.582,64.741,67.014,8.715,77.015
J08,Buddhist,228,59.933,69.518,74.561,66.784,78.561,53.618,70.724,66.754,33.918,49.074,32.329,69.163,82.456,75.33,70.485,51.77,66.96,72.368,76.754,71.93,77.434,75.556,61.947,68.282,75.439,69.604,61.504,63.717,42.035,83.26,80.088,72.247,61.842,55.947,49.115,47.137,73.684,79.825,60.793,68.421,62.281,67.257,82.379,64.889,59.912,62.996,35.088,37.445,28.634,63.596,61.233,51.111,53.304,36.123,37.885,54.867,35.683,45.815,59.211,54.867,51.101,53.947,51.316,50.661,37.445,80.617,63.717,60.619,63.717,70.485,56.828,61.504,13.004,16.592,28.251,42.152,86.878,63.182,61.187,23.789,18.519,3.704,29.63,9.259,20.37,1.852,27.778,5.556,0,18.519,11.111,3.704,5.556,9.259,9.259,7.407,14.815,24.074,18.519,5.556,17.621,17.5,7.5,25,37.5,2.5,37.5,52.5,30,37.5,40,32.5,5,0,7.5,12.5,25,2.5,50,17.5,37.5,30,0,0,0,5,0,0,10,5,35,20,37.5,62.5,42.857,51.802,56.054,50.673,32.287,60.889,65.778,10.177,69.912
J08,Hindu,117,69.298,74.359,78.205,72.488,81.481,60.043,71.368,72.906,34.473,54.321,28.777,73.217,86.325,75.214,75.214,61.538,73.504,76.068,80.342,73.504,82.759,78.632,69.828,73.504,77.778,72.65,75.214,72.65,49.573,84.615,82.051,77.778,67.521,60.345,59.13,53.846,72.65,77.778,71.552,64.655,67.521,77.778,88.034,71.795,63.478,69.231,39.316,31.624,32.479,66.667,58.12,50.427,55.172,45.299,49.573,68.376,47.009,47.863,70.085,68.376,63.793,66.667,56.522,56.41,48.718,84.615,64.957,68.966,65.517,71.304,64.655,64.655,7.826,6.957,29.565,55.652,91.346,66.981,63.81,18.803,18.182,9.091,27.273,45.455,27.273,0,31.818,9.091,4.545,22.727,13.636,4.545,4.545,4.545,4.545,13.636,4.545,18.182,18.182,9.091,11.111,23.077,15.385,46.154,53.846,15.385,46.154,69.231,61.538,46.154,46.154,38.462,0,0,7.692,0,23.077,0,46.154,7.692,46.154,30.769,7.692,15.385,0,7.692,0,0,0,7.692,38.462,7.692,30.769,69.231,[c],61.739,63.478,62.609,31.304,77.586,75.862,9.565,76.522
