Demographic variable,Response,Count,ees,mw_p,op_p,lm_p,mt_p,ld_p,if_p,rw_p,pb_p,lc_p,HSE_index,PERMA_index,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,B26,B27,B28,B29,B30,B31,B32,B33,B34,B35,B36,B37,B38,B39,B40,B41,B42,B43,B44,B45,B46,B47,B48,B49,B50,B51,B52,B53,B54,B55,B56,B57,B58,B59,B60,C01_1,C01_2,C01_3,C01_4,D01,D02,D03,E01 [4],E02_01,E02_02,E02_03,E02_04,E02_05,E02_06,E02_07,E02_08,E02_09,E02_10,E02_11,E02_12,E02_13,E02_14,E02_15,E02_16,E02_17,E02_18,E02_19,E02_20,E03 [4],E03A_01,E03A_02,E03A_03,E03A_04,E03A_05,E03A_06,E03A_07,E03A_08,E03A_09,E03A_10,E03A_11,E03A_12,E03A_13,E03A_14,E03A_15,E03A_16,E03A_17,E04_01,E04_02,E04_03,E04_04,E04_05,E04_06,E04_07,E04_08,E04_09,E04_10,E04_11,E04_12,E05,E06_A,E06_B,E06_C,E06_D,W01,W02,W03,W04,J04B,W05,W07,W08
J08,Jewish,174,61.753,71.954,77.586,67.893,81.034,55.46,72.701,68.678,40.038,49.872,32.153,68.077,83.333,75.287,74.419,54.023,72.989,75.287,79.885,71.839,78.613,80.814,61.628,75.287,79.31,65.517,63.218,68.966,34.104,83.908,81.609,77.586,61.494,50,58.621,51.724,75.862,80.46,66.092,68.391,68.391,70.115,83.908,68.786,62.069,58.621,39.08,43.678,37.356,71.264,63.218,43.678,56.322,34.483,33.908,60.345,35.057,50.575,63.793,56.897,54.023,52.874,51.149,46.243,34.682,86.207,65.896,68.966,69.54,66.474,57.225,67.63,10.92,16.092,33.333,39.655,89.941,58.58,63.905,21.839,26.316,10.526,18.421,10.526,23.684,5.263,15.789,7.895,2.632,15.789,13.158,0,5.263,5.263,13.158,5.263,13.158,13.158,13.158,5.263,21.387,24.324,18.919,32.432,32.432,13.514,43.243,56.757,35.135,45.946,40.541,35.135,10.811,2.703,10.811,24.324,18.919,0,45.946,18.919,37.838,27.027,5.405,2.703,2.703,0,8.108,2.703,0,8.108,43.243,13.514,51.351,63.889,43.75,46.784,49.123,39.766,32.164,51.163,56.977,16.86,70.349
J08,Muslim,219,65.324,73.425,74.886,71.882,79.604,60.046,70.548,69.863,36.225,56.665,30.916,69.131,84.404,79.817,76.037,60.369,65.596,71.689,77.982,73.853,75.229,78.802,67.742,77.523,76.256,71.101,70.507,70.642,56.422,84.932,79.817,73.853,67.58,57.798,54.587,59.633,68.037,79.263,68.056,66.514,70.183,74.312,83.028,66.204,62.212,62.385,37.443,38.073,32.569,68.037,60.55,57.798,61.574,51.152,47.945,66.514,45.872,49.083,70.046,66.055,56.682,60.55,59.908,52.294,42.857,80.275,56.682,65.438,59.908,67.593,62.385,61.905,14.22,14.22,25.688,45.872,78.704,57.944,55.14,24.201,17.308,17.308,17.308,48.077,17.308,1.923,21.154,19.231,1.923,23.077,13.462,0,26.923,5.769,15.385,13.462,11.538,11.538,17.308,9.615,22.374,31.25,16.667,35.417,37.5,4.167,45.833,39.583,22.917,41.667,43.75,22.917,10.417,8.333,12.5,22.917,12.5,12.5,29.167,20.833,45.833,18.75,4.167,4.167,6.25,0,0,4.167,0,12.5,47.917,4.167,33.333,58.333,52.174,46.047,50.698,48.611,32.558,63.014,68.807,15.668,67.742
J08,Sikh,57,50.175,56.842,59.649,59.669,69.006,43.713,57.895,59.649,36.257,40.351,41.118,58.421,61.404,61.404,59.649,52.632,49.123,59.649,59.649,57.895,64.912,64.286,52.632,64.912,68.421,64.912,59.649,55.357,43.86,71.93,71.93,63.158,54.386,43.86,38.596,37.5,63.158,64.912,56.14,47.368,56.14,61.404,75.439,61.404,47.368,56.14,35.088,38.596,33.929,49.123,42.105,38.596,38.596,31.579,33.333,47.368,42.105,40.351,54.386,50.877,42.105,45.614,43.86,37.5,30.909,71.93,56.14,47.368,54.386,57.895,45.614,52.632,15.789,14.035,24.561,45.614,73.214,49.123,49.123,40.351,39.13,4.348,30.435,43.478,43.478,0,52.174,39.13,4.348,4.348,4.348,0,4.348,0,0,34.783,4.348,13.043,8.696,13.043,26.316,60,46.667,73.333,80,53.333,73.333,80,60,80,66.667,40,0,0,13.333,13.333,6.667,0,80,33.333,53.333,73.333,0,6.667,6.667,13.333,0,0,0,6.667,13.333,6.667,6.667,86.667,[c],43.86,43.86,33.929,25,52.632,50.877,24.561,64.912
J08,Any other religion,565,58.052,67.381,74.159,69.047,77.404,49.425,69.779,63.864,32.566,42.394,33.065,67.41,83.363,75.575,69.929,44.05,64.007,72.743,75.575,70.87,84.22,81.851,64.716,75.177,78.901,68.206,64.476,64.956,38.121,84.22,79.823,68.319,56.283,48.49,49.288,43.717,74.159,79.041,62.301,63.717,56.814,66.903,81.416,60.354,56.206,61.456,32.92,36.46,28.319,63.54,53.628,40.957,44.779,27.788,28.319,53.805,28.369,40.177,55.752,55.044,47.865,43.186,41.593,39.362,29.61,84.071,61.77,61.279,60.177,66.667,58.865,65.116,11.901,13.144,27.353,47.602,89.512,61.913,56.806,20.708,19.658,11.111,25.641,13.675,26.496,7.692,30.769,4.274,4.274,18.803,11.111,0,5.128,6.838,16.239,10.256,16.239,17.949,21.368,3.419,17.345,17.526,8.247,35.052,32.99,2.062,45.361,43.299,26.804,50.515,45.361,27.835,6.186,7.216,13.402,15.464,17.526,3.093,46.939,8.163,31.633,35.714,4.082,2.041,1.02,3.061,5.102,3.061,4.082,8.163,40.816,9.677,35.417,70.526,28.205,43.339,49.376,43.113,29.13,45.989,46.168,19.464,68.449
S01,State selective,3253,63.981,74.882,82.601,73.307,83.518,59.507,80.003,72.617,38.078,55.292,27.758,71.74,88.157,79.926,77.077,55.566,73.655,81.248,83.953,75.738,87.319,84.663,69.008,80.75,82.964,70.311,68.228,72.736,41.251,87.877,85.376,77.262,65.867,55.771,61.752,54.646,83.395,87.938,71.736,76.961,69.167,75.023,85.868,72.067,63.608,69.935,37.043,44.096,33.108,71.986,67.159,55.374,59.151,41.09,40.185,66.903,41.433,54.213,65.724,65.229,52.205,56.065,54.277,51.493,36.38,88.738,70.391,71.371,70.909,78.13,63.642,72.657,7.925,13.568,32.994,45.513,92.495,64.884,71.075,13.653,19.231,11.312,24.661,8.824,19.683,3.394,25.113,3.394,2.941,25.566,7.466,1.81,1.81,4.525,19.231,7.919,12.443,13.348,10.86,4.977,11.843,13.021,10.677,31.771,33.594,2.083,39.583,50,29.167,38.542,38.021,29.167,4.167,3.906,14.063,20.313,15.625,1.302,46.234,11.948,34.286,24.416,4.675,3.636,0.779,1.558,2.338,0.519,3.117,6.234,47.013,15.608,47.52,67.363,44.444,53.374,58.279,50.478,36.529,58.326,63.404,10.256,77.361
S01,State non-selective,9305,63.391,74.238,82.448,72.689,82.13,58.22,79.521,72.019,39.005,53.59,28.306,70.947,87.542,80.562,75.658,54.325,73.081,81.073,83.83,75.263,86.817,84.172,67.542,79.247,82.968,70.365,67.545,72.133,40.741,87.341,83.601,75.452,64.164,54.052,61.075,53.556,83.366,87.281,70.183,77.29,67.774,74.621,86.416,71.831,62.026,69.427,38.247,45.069,33.677,71.458,64.673,54.308,56.903,39.109,39.28,66.024,38.926,51.63,64.623,64.167,51.867,55.435,52.554,49.742,34.998,88.989,70.293,71.092,69.735,77.852,61.825,70.876,7.431,13.795,32.328,46.446,91.574,64.446,70.053,13.12,17.98,8.374,22.66,9.36,19.376,2.956,27.34,3.695,2.381,20.772,8.456,1.724,2.627,6.322,20.115,9.442,16.01,15.189,16.256,4.105,12.102,16.103,10.231,30.605,40.302,1.779,43.238,48.577,28.47,41.637,40.391,29.537,4.27,3.47,11.121,17.705,16.548,0.979,46.791,13.815,33.066,28.342,4.367,2.585,1.604,2.496,3.119,2.05,3.119,4.813,42.5,15.018,43.688,66.488,34.034,51.485,57.058,48.573,35.937,57.111,62.604,11.135,76.911
S01,Independent with bursary,525,65.776,78.667,81.714,74.16,85.333,60.905,81.19,70.743,42.444,54.455,26.986,73.436,91.619,82.252,80.952,58.969,79.429,79.619,83.81,74.809,88.571,86.667,67.686,81.714,84.351,70.611,70.192,73.855,42.939,87.81,86.59,81.524,63.81,57.824,64.762,57.143,85.333,86.667,74.57,78.095,66.157,71.81,89.122,71.073,60.762,65.524,43.511,47.429,36.381,72.762,65.714,51.048,57.634,37.333,40.762,66.476,42.667,55.619,67.81,68.642,56.19,58.857,55.534,56,39.313,87.786,75.382,73.092,72.137,78.857,62.476,73.946,6.298,13.931,42.557,37.214,92.927,62.549,66.208,13.714,26.389,8.333,19.444,6.944,36.111,5.556,29.167,0,4.167,27.778,9.722,0,4.167,6.944,15.278,9.722,9.722,12.5,15.278,2.778,13.143,21.739,13.043,21.739,37.681,1.449,42.029,55.072,30.435,37.681,27.536,15.942,5.797,4.348,8.696,18.841,17.391,0,43.478,7.246,23.188,42.029,5.797,4.348,1.449,0,4.348,2.899,7.246,4.348,39.706,17.647,42.029,63.768,37.037,53.537,57.582,48.375,31.931,56.679,63.48,11.281,77.099
S01,Independent no bursary,957,66.035,78.213,83.124,73.629,83.246,61.338,81.531,71.752,42.25,56.927,27.13,72.423,91.118,81.466,77.673,61.297,79.393,81.172,85.057,76.176,89.099,86.239,70.115,80.982,85.162,68.868,68.272,71.444,40,88.598,84.326,76.883,66.004,55.812,67.189,56.276,84.848,88.075,76.987,76.176,70.428,74.713,86.311,75.052,59.267,64.786,43.887,46.082,36.82,75.235,69.592,53.613,63.218,42.259,40.23,68.966,42.006,57.262,71.16,68.41,53.138,60.419,55.23,57.068,37.185,89.969,75.393,73.354,72.309,76.907,61.402,74.477,5.858,15.586,37.762,40.795,93.111,61.315,70.95,12.762,17.213,9.016,14.754,14.754,26.23,0.82,23.77,4.918,4.098,18.033,4.918,0.82,4.098,3.279,17.213,9.016,11.475,11.475,13.934,5.738,10.763,18.447,11.65,23.301,31.068,0.971,42.718,52.427,32.039,29.126,41.748,30.097,4.854,5.825,6.796,12.621,13.592,2.913,44.66,19.417,29.126,33.981,4.854,11.65,2.913,2.913,2.913,2.913,0.971,3.883,45.631,11.765,48.544,68.627,38.298,53.151,60.169,50.317,34.984,62.159,66.876,9.969,78.826
S01,Other including abroad,1131,67.021,77.065,83.643,74.917,83.879,59.173,80.73,72.782,36.374,55.61,27.58,72.927,89.912,80.159,79.307,58.703,77.08,82.051,85.31,76.835,86.005,86.602,71.479,80.99,84.397,73.009,71.099,73.917,44.583,87.887,85.5,78.23,64.81,57.092,57.927,56.637,84.131,87.688,76.262,74.756,71.681,75.752,88.918,72.405,61.559,66.312,37.057,40.639,31.444,72.099,67.673,55.338,60.958,43.517,40,68.206,39.787,52.622,72.389,71.568,55.319,59.735,58.584,53.103,37.799,89.637,72.566,72.631,70.416,76.372,60.071,74.755,8.007,14.591,37.367,40.036,87.623,57.54,70.37,11.791,28.788,11.364,18.182,26.515,29.545,3.03,33.333,18.939,3.03,13.636,13.636,2.273,4.545,8.333,18.182,9.091,15.152,17.424,18.182,4.545,13.387,21.854,14.57,25.828,37.086,1.325,35.762,38.411,25.828,29.139,35.099,24.503,9.272,5.298,8.609,13.245,18.543,3.974,45.033,13.907,26.49,27.815,3.974,3.311,2.649,3.974,1.987,1.987,1.325,8.609,43.709,18.243,43.709,58,34.848,54.359,61.71,55.486,33.304,66.341,71.048,11.012,75.177
S02,Degree level or above,5588,64.515,75.668,81.523,73.562,83.629,59.722,80.572,71.727,40.679,55.296,27.709,71.68,89.171,79.405,77.022,56.262,76.397,80.082,82.978,76.334,87.585,85.796,67.825,80.842,84.014,70.291,68.763,73.565,40.545,88.557,85.149,77.167,63.944,55.331,63.439,56.109,84.405,87.946,73.844,76.061,68.505,73.635,86.958,73.333,60.459,67.431,40.67,46.462,34.921,73.943,67.288,53.712,60.212,40.323,39.652,67.712,41.14,53.612,68.183,67.892,51.004,57.273,54.417,52.804,34.297,88.847,72.576,72.437,70.034,75.94,61.064,74.228,7.353,15.549,39.652,37.446,91.915,58.88,70.584,12.464,20,10.216,22.446,12.662,25.036,3.165,29.496,5.18,3.453,20.432,7.626,1.583,2.59,6.043,16.835,7.194,14.245,14.676,10.791,5.468,12.193,17.474,11.16,25.551,38.179,0.734,40.088,46.109,29.515,35.977,36.417,29.662,5.58,3.818,11.747,17.768,16.446,2.203,47.059,15.441,31.324,28.382,5,3.971,1.618,2.206,2.794,2.206,2.5,4.853,44.624,17.481,45.147,64.307,35.43,51.835,57.503,48.669,32.823,58.284,65.972,10.85,78.593
S02,Below degree level,6393,64.048,75.088,83.878,73.5,82.71,59.353,80.31,72.559,38.692,54.897,27.88,71.48,88.042,81.549,76.673,55.949,73.283,82.35,85.401,75.935,87.514,84.866,69.157,79.887,83.375,70.81,68.681,72.65,42.076,87.496,84.401,76.252,65.347,55.202,62.196,54.666,84.048,87.657,71.001,78.592,69,75.681,86.742,71.446,62.839,69.671,37.94,44.304,33.829,72.028,66.521,55.73,57.928,40.326,40.88,66.912,40.229,53.544,65.848,64.991,53.604,56.266,53.928,51.119,37.14,89.652,70.775,72.221,70.959,79.687,63.356,71.155,7.246,12.829,31.038,48.886,91.644,67.055,71.415,12.993,17.995,8.454,21.135,7.005,18.116,3.502,25.966,3.502,2.295,23.792,8.937,2.415,2.174,4.589,21.135,8.816,15.58,15.338,16.425,3.744,12.033,14.974,10.286,30.339,37.76,0.911,42.188,48.958,26.953,39.974,39.583,27.214,4.427,3.906,10.286,18.359,14.844,1.172,46.154,10.039,32.334,26.858,3.911,2.738,1.434,2.086,3.129,1.565,3.259,5.215,43.734,15.172,45.872,66.536,34.328,52.433,58.498,50.024,36.385,57.859,62.518,10.721,76.782
S02,No qualifications,2313,63.339,73.916,82.144,70.822,81.294,56.2,77.803,71.15,36.446,51.59,29.107,70.87,87.543,80.208,75.769,53.593,72.46,80.674,83.651,72.924,84.719,81.846,66.797,77.735,80.961,69.294,64.471,69.81,39.541,86.116,82.086,75.659,63.986,54.026,56.691,50.151,81.228,86.629,68.542,74.827,67.488,73.657,85.801,70.909,61.628,67.33,36.533,41.566,31.258,68.093,61.808,53.336,54.998,38.285,36.533,63.936,37.603,49.784,63.695,62.787,53.616,54.742,52.163,47.9,36.489,87.192,68.915,67.907,69.434,76.384,62.803,68.734,8.492,14.298,29.853,47.357,91.567,65.402,66.696,15.405,22.817,8.451,26.197,14.085,23.099,2.535,27.887,6.197,2.535,17.465,8.732,0.563,4.225,9.014,20.845,14.648,15.493,11.831,18.592,3.662,12.543,15.917,13.495,36.332,39.792,5.536,43.945,52.941,34.256,43.945,45.675,30.45,3.114,2.076,13.149,14.533,18.339,0,42.414,17.586,36.207,32.414,3.793,3.793,1.379,3.103,3.103,2.414,1.724,5.172,39.31,12.367,41.319,69.338,43.86,52.106,55.97,50.261,38.652,58.059,61.248,11.709,74.848
S02,Not applicable,82,66.049,75.61,82.317,77.304,81.098,57.825,74.085,77.48,33.74,52.998,27.891,70.926,90.244,81.707,82.927,52.439,70.732,82.927,81.707,81.707,82.927,83.951,70.732,82.927,85.185,80.488,74.39,76.829,53.659,83.951,82.927,76.829,68.293,56.79,54.878,50.617,73.171,76.829,69.512,76.829,75.61,74.074,85.366,80.247,76.829,73.171,30.488,39.024,30.864,69.512,56.79,56.098,57.317,47.561,41.463,66.667,35.366,46.341,63.415,62.963,56.098,59.756,54.878,40.244,28.395,90.244,62.963,65.854,65,75.61,60.976,65.432,3.659,4.878,26.829,64.634,81.481,59.259,67.901,13.415,9.091,9.091,18.182,0,9.091,0,9.091,0,0,18.182,0,0,0,9.091,9.091,18.182,18.182,18.182,18.182,0,10.976,[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],53.659,58.537,50,36.585,60.976,63.415,13.415,65.854
S02,Other,51,65,69.804,76.471,70.588,79.085,55.392,80.882,69.281,41.176,51.797,28.309,70.4,74.51,80.392,76.471,54.902,62.745,74.51,78.431,68.627,84.314,78.431,64.706,78.431,80.392,74.51,66.667,58.824,50.98,86.275,80.392,70.588,62.745,52.941,56.863,49.02,80.392,90.196,74.51,78.431,68.627,74.51,78.431,64.706,62.745,66.667,39.216,43.137,41.176,50.98,56,54.902,48,43.137,45.098,64.706,50.98,50.98,68.627,64.706,49.02,60.784,60.784,58,39.216,78,62.745,62,70.588,76,56.863,64.706,7.843,9.804,27.451,54.902,86,70,66,13.725,[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],9.804,[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],54,54,50,30,72.549,70.588,7.843,76.471
nssec3,Never worked,441,62.934,72.063,81.519,69.879,79.441,57.37,76.757,67.43,36.735,52.658,30.339,69.41,85.941,78.409,74.376,52.727,68.707,80.272,82.766,73.923,85.227,80.682,65.76,75.964,77.551,69.773,63.039,68.027,38.636,85.714,80.045,72.562,62.132,55.455,57.37,54.649,79.138,85.941,65.306,76.644,64.172,69.318,84.127,67.347,58.409,61.224,34.24,41.723,34.24,68.027,62.358,53.409,52.608,40.136,40.363,63.265,41.27,52.381,62.132,63.182,55.581,55.782,53.061,45.351,32.653,85.488,67.574,70.068,68.254,76.644,63.719,68.409,10.227,15,30.227,44.545,93.548,67.126,64.516,19.501,11.628,6.977,24.419,11.628,23.256,4.651,23.256,4.651,2.326,27.907,11.628,1.163,6.977,6.977,24.419,11.628,18.605,15.116,23.256,1.163,17.234,18.421,6.579,31.579,42.105,1.316,46.053,46.053,28.947,38.158,39.474,28.947,5.263,2.632,15.789,18.421,25,1.316,39.474,10.526,43.421,30.263,2.632,3.947,0,2.632,1.316,1.316,1.316,3.947,42.105,12,46.053,67.105,46.875,46.259,47.846,42.045,33.56,48.98,53.288,16.438,70.682
nssec3,Routine,3574,63.982,74.953,83.702,73.068,82.363,58.273,79.237,72.578,37.838,53.835,28.012,71.557,88.021,81.576,77.223,55.307,72.608,82.345,85.083,75.119,86.415,83.623,69.552,79.591,82.447,71.385,67.78,71.633,43.07,87.465,83.819,75.84,64.894,55.307,59.826,53.135,81.925,87.118,70.272,77.716,68.561,76.1,86.499,71.421,63.348,69.493,36.794,44.236,32.485,70.753,65.078,55.58,56.735,40.633,39.731,65.9,38.981,51.246,65.155,63.323,53.782,56.275,54.65,49.664,37.115,89.045,69.655,70.272,70.3,79.177,63.855,70.587,7.149,12.475,28.287,52.089,92.242,68.476,70.761,13.886,19.838,9.312,23.077,10.526,18.826,2.632,26.721,5.668,2.429,20.648,9.109,0.405,1.822,6.275,21.255,10.526,14.777,14.372,14.372,4.656,11.947,13.38,12.207,33.333,38.732,4.225,41.08,51.408,29.812,41.315,45.54,28.873,4.93,3.991,12.207,14.554,13.146,0.704,46.009,11.502,32.629,30.282,4.695,3.286,1.878,3.286,2.113,1.878,2.582,6.338,42.857,11.962,39.573,67.217,40.659,52.992,58.364,50.9,38.87,59.759,61.756,11.052,76.632
nssec3,Intermediate,1833,64.775,74.752,83.142,73.254,82.67,60.456,80.819,72.527,39.28,55.09,28.038,71.318,88.489,80.636,76.258,54.178,74.195,81.56,84.724,76.105,87.172,85.894,68.418,80.033,84.17,71.1,67.798,71.155,40.328,87.616,84.19,76.159,66.067,56.018,62.486,57.041,84.552,87.882,72.28,78.505,68.286,74.454,86.011,73.552,63.169,69.651,38.974,44.814,34.043,71.959,65.702,56.12,58.425,40.71,41.344,67.268,40.775,53.41,67.413,66.903,53.796,58.721,54.476,52.238,35.628,89.192,70.999,72.812,71.436,80.229,64.391,71.663,8.634,13.716,33.333,44.317,91.046,62.584,70.218,13.148,18.257,9.544,25.311,10.373,17.427,2.075,33.195,4.979,2.49,21.162,9.959,3.32,3.734,5.809,17.012,10.788,17.427,12.448,18.257,4.564,12.439,17.105,9.649,29.386,34.211,1.754,39.912,57.895,31.579,41.667,38.158,28.947,4.825,3.07,14.474,20.175,17.544,1.316,40.789,12.281,36.842,30.263,4.825,3.07,1.316,1.754,4.386,1.754,2.193,3.07,42.478,15.929,48.684,68.722,38.542,51.479,57.495,49.726,36.289,57.728,64.461,10.656,77.838
nssec3,High,7470,64.573,76.259,82.731,73.853,83.9,59.826,81.053,72.17,40.326,55.584,27.421,71.97,89.219,80.847,77.362,57.424,76.386,81.325,84.146,76.339,88.003,85.847,68.717,80.956,84.34,70.365,68.835,74.189,40.862,88.572,85.253,77.87,64.836,55.262,63.519,55.642,85.351,88.637,73.371,76.839,69.05,74.565,86.964,72.385,61.579,68.475,40.273,45.973,34.727,73.898,67.734,54.971,60.34,39.976,39.633,68.199,41.013,54.383,67.649,67.203,52.374,57.17,54.14,53.103,35.807,89.45,72.799,72.672,70.692,77.209,62.058,73.956,6.897,14.788,36.702,41.613,91.998,61.76,71.276,12.088,20.444,8.778,21.444,9.889,22.889,3.667,25.556,4,2.556,20.778,6.778,1.889,2.333,5,18.333,7.444,13.444,15,13.222,3.778,11.467,15.906,11.228,26.433,37.778,0.468,39.883,45.029,29.474,37.31,35.906,27.953,4.561,3.626,9.591,16.959,15.205,1.637,45.082,14.052,31.148,27.166,4.801,3.747,1.756,2.342,2.576,1.874,3.396,5.269,44.549,18.365,48.709,64.865,32.368,53.221,58.933,50.047,34.639,58.856,65.015,10.316,78.725
S07,Lower SEB,5358,63.119,73.437,81.762,71.853,81.031,56.992,77.316,70.396,35.66,52.36,29.536,70.301,87.435,79.528,75.351,53.252,71.602,80.343,83.206,74.851,85.77,83.09,67.315,78.259,81.636,69.573,66.598,70.256,41.077,85.677,82.508,74.911,62.061,54.76,57.814,53.288,80.411,85.477,68.405,74.981,65.938,73.29,85.76,70.606,60.288,66.436,35.188,40.571,31.193,69.137,63.271,53.508,55.346,38.673,39.115,63.749,37.923,50.597,63.928,63.105,53.162,55.25,52.661,48.449,35.283,87.47,68.261,68.479,68.336,75.649,63.681,68.882,8.564,14.192,31.189,46.055,91.448,64.993,66.088,16.844,20.444,9,25.333,12.556,20.778,3.111,29,5.556,2.111,23.111,9.778,1.556,3.444,7.444,20.889,12.556,16.444,13.778,15.111,4.333,14.542,18.041,11.34,31.186,39.82,3.351,43.686,52.062,30.412,42.268,42.784,31.443,5.026,3.222,12.629,18.428,17.268,0.902,47.362,13.256,35.393,28.443,4.505,3.089,1.416,2.317,3.089,2.188,2.831,4.762,45.431,12.907,42.617,67.829,43.466,48.828,54.143,46.669,34.908,54.768,58.701,13.398,74.341
S07,Not lower SEB,7962,65.317,77.022,83.842,74.519,84.654,60.905,82.633,73.79,42.382,56.913,26.532,72.749,89.383,81.492,78.42,58.492,77.258,82.364,85.318,76.731,88.308,86.38,69.822,81.581,84.894,71.371,69.635,74.858,41.494,89.404,86.05,78.502,66.717,55.716,65.014,56.135,86.481,89.688,75.195,79.163,71.018,75.886,87.594,73.972,63.514,70.746,42.107,48.561,36.496,74.783,68.921,56.263,61.414,41.878,40.875,69.84,42.248,55.905,68.539,68.36,53.283,58.39,55.505,54.263,37.051,90.523,74.139,74.723,73.101,79.786,62.252,74.921,6.431,13.982,35.25,44.337,92.243,63.197,73.51,10.445,18.577,8.926,19.783,8.685,23.281,2.895,24.125,4.101,3.619,20.265,5.79,1.809,1.93,4.343,18.938,6.514,12.786,14.717,14.837,4.101,10.305,15.122,9.512,28.293,36.098,0.366,39.39,45.244,28.415,35.976,35.488,26.707,4.634,3.78,9.756,16.951,14.268,1.585,43.888,14.181,30.073,28.117,5.012,3.423,1.711,2.2,2.323,1.834,2.812,5.257,43.015,18.025,48.96,64.619,30.769,55.659,61.42,52.496,36.495,61.456,67.679,8.944,79.779
