"Demographic variable [1, 5, 6]",Response,Count,ees [2],mw_p [3],op_p [3],lm_p [3],mt_p [3],ld_p [3],if_p [3],rw_p [3],pb_p [3],lc_p [3],HSE_index,PERMA_index,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,B26,B27,B28,B29,B30,B31,B32,B33,B34,B35,B36,B37,B38,B39,B40,B41,B42,B43,B44,B45,B46,B47,B48,B49,B50,B51,B52,B53,B54,B55,B56,B57,B58,B59,B60,C01_1,C01_2,C01_3,C01_4,D01,D02,D03,E01 [4],E02_01,E02_02,E02_03,E02_04,E02_05,E02_06,E02_07,E02_08,E02_09,E02_10,E02_11,E02_12,E02_13,E02_14,E02_15,E02_16,E02_17,E02_18,E02_19,E02_20,E03 [4],E03A_01,E03A_02,E03A_03,E03A_04,E03A_05,E03A_06,E03A_07,E03A_08,E03A_09,E03A_10,E03A_11,E03A_12,E03A_13,E03A_14,E03A_15,E03A_16,E03A_17,E04_01,E04_02,E04_03,E04_04,E04_05,E04_06,E04_07,E04_08,E04_09,E04_10,E04_11,E04_12,E05,E06_A,E06_B,E06_C,E06_D,W01,W02,W03,W04,J04B,W05,W07,W08
J03_all,Asian: Bangladeshi,1731,71.495,77.71,85.586,76.174,82.91,59.922,80.7,78.677,34.007,58.821,25.783,74.233,89.821,82.619,79.954,63.335,72.775,82.958,88.215,80.509,83.604,82.425,73.101,80.208,82.533,74.681,76.287,72.812,55.581,86.69,84.25,77.759,68.284,55.485,59.547,56.243,82.281,88.508,75.087,77.039,76.634,82.697,89.18,79.722,69.396,74.393,35.202,35.574,31.04,72.685,67.342,59.281,61.69,52.543,50.145,71.445,45.518,48.611,77.951,75.174,61.382,68.5,66.782,55.113,40.209,92.535,65.255,70.261,64.774,76.941,62.333,71.879,6.547,11.993,29.954,51.506,82.49,57.782,69.016,10.468,17.127,14.365,14.365,48.619,14.365,0.552,26.519,4.42,3.867,9.945,9.392,1.657,22.652,3.315,1.657,13.26,12.707,20.994,12.155,4.972,9.653,12.727,3.636,25.455,40,0.606,44.848,51.515,25.455,51.515,42.424,29.091,7.879,10.303,10.909,15.758,18.182,1.818,41.916,13.772,42.515,32.335,1.796,1.796,0.599,2.395,1.198,0,4.79,5.389,39.157,10.303,38.323,56.886,43.077,58.762,66.377,57.101,43.345,73.584,66.397,7.234,73.526
J03_all,Asian: Chinese,868,67.486,78.917,84.85,77.924,85.004,59.745,82.719,77.876,38.863,61.401,25.156,73.486,89.286,81.106,79.123,64.815,80.069,83.41,86.29,79.815,85.467,87.601,74.424,80.277,86.736,76.728,79.422,77.829,51.152,88.466,85.928,80.645,68.318,58.824,54.839,57.028,83.41,88.479,77.535,81.452,71.313,84.065,90.751,72.37,71.132,77.765,38.594,44.47,33.525,79.815,74.394,63.437,66.705,51.326,44.175,73.387,46.305,53.002,71.429,70.161,53.349,61.574,61.246,60.323,42.857,91.811,70.588,76.157,65.398,82.028,56.106,74.134,4.051,11.921,44.444,39.583,80.93,52.037,71.013,8.065,17.143,4.286,7.143,45.714,11.429,0,41.429,11.429,1.429,2.857,8.571,0,1.429,0,0,12.857,8.571,18.571,15.714,5.714,6.912,11.667,6.667,25,40,0,31.667,40,23.333,41.667,31.667,26.667,1.667,1.667,5,6.667,15,0,42.373,13.559,32.203,20.339,3.39,5.085,1.695,0,5.085,1.695,1.695,8.475,40,21.667,38.333,41.667,33.333,66.282,71.528,62.95,44.342,78.035,74.018,5.196,74.885
J03_all,Asian: Indian,7835,69.415,79,85.954,74.155,82.925,61.172,79.326,77.609,31.882,57.228,26.868,74.611,91.408,84.621,82.352,63.434,73.087,84.163,87.748,77.234,83.792,82.438,72.231,78.518,81.613,72.939,73.969,70.251,48.387,86.3,84.433,78.055,70.612,58.542,59.928,55.448,80.429,86.844,74.365,75.581,75.807,81.474,87.903,78.808,68.545,73.006,31.591,35.786,28.219,71.967,64.542,58.649,60.159,49.29,45.449,71.211,45.23,48.362,74.933,71.028,61.618,65.945,62.069,54.017,43.193,91.25,66.957,68.768,62.952,75.716,65.192,70.447,5.012,10.152,27.695,57.141,85.551,63.488,68.946,11.612,14.002,14.884,11.466,43.109,12.018,0,31.753,6.615,1.323,9.592,8.931,1.213,8.931,1.764,0.221,5.843,15.215,17.641,17.751,7.828,9.067,11.299,3.672,28.814,41.384,0.424,40.819,48.305,23.87,47.599,38.136,30.085,4.661,8.616,10.169,11.158,16.525,2.684,42.837,8.511,39.716,28.085,4.823,0.851,0.709,1.844,1.135,1.844,2.837,9.22,46.61,14.672,39.774,58.815,44.848,60.944,69.104,60.802,42.371,75.799,70.499,5.581,73.233
J03_all,Asian: Pakistani,3489,70.192,75.858,85.282,74.864,82.583,59.7,78.65,78.332,32.583,57.045,27.327,74.355,90.161,82.282,81.198,58.345,67.136,83.534,87.055,78.737,82.043,80.98,72.165,79.185,81.361,72.56,75.187,70.951,55.661,87.733,84.235,75.718,68.379,57.842,58.129,54.6,80.04,87,72.573,75.129,76.8,82.311,88.937,80.414,69.315,72.213,33.085,34.892,29.776,71.056,64.156,59.063,59.649,51.019,47.634,69.341,43.928,47.519,76.347,74.168,62.248,67.375,64.907,51.621,39.397,90.427,63.545,69.29,65.116,74.698,61.287,67.291,7.347,11.524,26.188,54.941,82.317,58.764,68.535,13.375,11.015,17.063,12.311,48.164,10.151,0.216,24.622,7.559,2.808,11.879,7.127,2.16,22.246,2.376,0.648,8.423,13.175,20.302,18.143,7.559,11.366,13.625,3.085,34.19,41.131,1.285,43.445,49.871,20.823,45.501,37.532,28.021,4.884,8.483,12.853,11.825,12.853,2.057,43.081,8.877,44.648,30.287,6.005,1.305,0.522,2.35,2.089,2.611,2.35,5.483,52.713,16.321,42.092,56.378,40.291,60.945,66.945,59.298,42.005,73.807,67.98,6.676,71.068
J03_all,Black: African,4798,71.909,78.343,87.951,77.69,86.057,66.227,78.891,81.691,30.567,61.378,25.284,77.438,92.077,83.071,84.077,62.029,70.334,85.485,90.426,81.202,83.776,82.427,76.653,80.288,84.89,77.47,79.706,73.71,56.595,89.434,87.801,81.087,73.602,65.319,63.072,62.83,79.708,87.134,76.873,71.75,81.327,85.568,92.064,83.641,71.62,75.929,30.429,33.592,27.691,78.263,68.846,65.814,64.759,55.46,49.728,77.036,45.418,46.69,79.203,74.603,62.437,70.634,68.353,59.962,45.637,89.939,62.819,71.554,64.59,72.76,65.412,72.508,5.949,10.532,26.824,56.695,82.829,61.446,67.646,12.072,9.93,9.233,8.188,60.279,8.885,0,31.01,11.498,1.742,5.052,10.976,0.523,4.007,2.265,0,7.491,11.324,11.847,15.331,8.362,9.243,14.806,2.506,28.018,44.191,0.683,34.852,51.025,29.385,44.191,32.118,25.74,3.417,4.556,9.339,7.517,11.39,4.328,37.269,9.954,41.204,27.546,3.009,3.009,0.926,1.852,2.315,0.926,3.241,11.806,45.538,20.23,37.097,49.425,30.964,66.121,76.21,67.212,47.249,85.987,82.283,4.013,72.744
J03_all,"Black: Any other Black, Black British or Caribbean background",611,67.042,77.439,86.498,72.588,83.415,61.825,73.513,77.37,31.151,54.894,27.443,76.463,90.835,82.043,82.295,61.148,70.936,83.633,89.362,73.607,83.306,79.572,72.623,76.23,82.951,72.323,71.711,67.216,46.47,88.013,85.106,77.377,70.704,60.099,59.868,56.465,74.918,83.279,69.901,66.118,74.426,79.441,89.672,78.947,68.966,72.668,29.18,35.691,28.852,74.59,59.672,56.931,54.351,46.393,40.753,71.334,42.599,47.619,67.541,62.357,53.884,61.349,59.442,51.227,40.394,88.216,61.803,68.361,66.831,68.852,63.097,67.384,5.592,10.855,25.822,57.73,85.11,65.313,63.311,13.912,13.253,14.458,7.229,55.422,15.663,0,25.301,2.41,0,8.434,10.843,0,2.41,2.41,1.205,6.024,3.614,20.482,12.048,14.458,11.129,8.824,1.471,27.941,48.529,1.471,35.294,45.588,14.706,36.765,33.824,32.353,4.412,5.882,2.941,8.824,8.824,4.412,41.176,4.412,44.118,27.941,11.765,1.471,2.941,0,1.471,1.471,1.471,7.353,52.941,26.866,47.059,62.687,36.111,69.435,76.744,67.33,49.668,81.311,71.499,4.139,73.355
J03_all,Black: Caribbean,2925,64.197,76.461,84.155,71.716,81.869,60.852,73.735,75.177,31.022,51.977,28.168,75.436,90.965,80.753,80.853,58.273,71.321,82.242,86.13,74.7,82.692,79.552,69.767,76.467,81.678,70.402,71.306,67.067,43.684,86.121,82.659,76.926,72.142,58.099,60.206,52.959,76.328,84.75,69.749,64.09,74.196,79.89,87.551,75.472,64.173,69.736,30.144,35.106,27.901,72.329,59.932,55.232,52.299,42.485,37.269,69.564,36.956,41.986,63.095,60.007,50.738,57.686,54.309,50.771,36.875,88.356,63.138,65.386,66.016,67.899,60.219,67.618,5.981,11.585,26.573,55.861,86.616,62.257,62.906,13.42,11.765,9.463,12.532,58.824,10.997,0,21.995,5.627,0.256,8.184,8.184,0.512,2.558,2.046,0,9.463,7.928,12.02,18.414,7.928,9.747,9.825,2.105,29.474,42.456,0.702,38.596,45.614,23.158,44.561,41.053,26.316,7.368,5.614,12.281,9.825,22.456,2.456,36.972,8.451,37.324,30.986,4.93,2.465,1.056,1.408,0.704,1.408,3.169,6.69,45.775,16.014,42.199,59.859,40.769,64.239,75.009,64.098,51.934,78.772,72.041,5.2,70.514
J03_all,Mixed: Any other Mixed or Multiple ethnic background,1971,66.614,77.927,82.369,73.281,82.936,58.037,78.708,73.304,36.954,55.283,27.541,74.356,91.02,83.189,79.898,59.807,75.927,80.315,84.416,76.091,85.264,83.461,69.665,79.706,82.953,71.88,69.649,71.683,42.48,86.89,84.58,77.411,64.5,55.256,57.448,54.873,82.386,86.237,72.185,74.023,71.842,77.513,89.731,72.815,61.656,66.328,37.195,42.044,31.571,72.64,65.785,56.575,59.116,43.35,39.766,68.039,40.731,51.346,69.863,67.412,57.855,59.421,56.57,53.076,39.157,89.746,68.934,69.903,69.176,74.569,59.461,71.218,6.972,11.858,32.163,49.008,87.904,61.795,69.195,13.706,17.844,10.781,16.357,33.457,14.498,0,29.368,5.204,0.372,11.524,10.781,1.487,6.32,1.859,0,8.922,16.729,16.357,19.703,6.691,11.015,14.884,2.791,28.837,37.209,0.93,38.605,49.767,29.767,40.93,38.605,32.558,4.186,5.116,10.698,13.023,16.744,1.86,37.674,9.302,39.535,30.698,6.047,4.186,1.86,2.326,3.721,2.326,3.721,6.047,46.262,15.349,47.465,61.395,37.755,61.009,68.298,58.58,42.231,70.935,68.852,5.502,75.191
J03_all,Mixed: White and Asian,1571,66.363,79.109,84.023,74.517,83.524,61.468,80.442,73.585,39.72,56.532,26.43,73.923,90.758,83.365,80.191,62.93,78.358,82.484,85.541,77.212,88.846,85.842,70.581,82.611,84.596,71.793,70.217,73.785,39.63,88.67,84.13,77.856,68.367,57.834,63.208,56.597,85.551,87.771,73.023,75.493,70.892,77.487,88.363,74.202,63.161,67.346,39.338,46.242,33.546,74.825,68.414,56.486,63.114,41.683,40.332,68.411,43.24,52.326,69.828,69.427,55.414,59.21,56.115,55.06,37.349,91.146,74.027,70.836,69.069,76.369,59.425,74.328,5.435,14.194,36.829,43.542,91.466,60.235,72.531,10.006,17.197,14.65,15.287,34.395,19.745,0,26.752,1.274,1.911,14.013,7.643,2.548,5.096,3.185,1.274,7.643,17.197,15.924,17.197,4.459,9.866,9.091,3.247,24.026,44.156,0,38.312,48.701,27.922,38.312,32.468,32.468,3.247,5.844,10.39,12.987,20.13,2.597,49.673,11.111,35.294,20.261,3.268,1.307,1.961,2.614,1.307,0.654,3.268,7.19,49.351,20.13,40.789,63.158,28.947,61.129,65.811,57.685,42.912,69.206,71.429,6.026,78.361
J03_all,Mixed: White and Black African,447,68.725,77.092,83.669,75.527,84.753,62.724,78.868,75.105,39.625,58.924,26.97,74.287,90.157,81.757,78.475,60.179,74.944,81.655,85.682,78.747,86.996,85.36,69.799,83.632,86.996,73.543,72.707,71.685,45.861,87.668,86.292,80.269,70.404,56.726,63.596,60.09,80.942,87.444,72.748,74.215,74.664,74.099,89.865,78.876,64.574,68.61,38.202,45.169,35.506,73.933,70.022,62.613,64.126,48.993,42.601,69.438,43.115,55.405,72.584,70.337,56.726,61.798,59.101,58.202,41.667,88.514,70.045,74.607,68.764,74.775,60.544,73.529,5.631,12.162,32.658,49.55,90.575,63.426,71.889,12.752,15.789,8.772,5.263,45.614,12.281,0,38.596,8.772,1.754,5.263,17.544,0,10.526,7.018,1.754,7.018,8.772,19.298,17.544,5.263,11.186,18,6,30,60,0,42,30,20,32,28,20,4,8,14,10,12,2,58,20,24,16,2,4,2,0,2,4,2,12,40,14,50,62,40,59.685,68.919,61.486,45.701,71.588,71.171,5.169,73.767
J03_all,Mixed: White and Black Caribbean,998,65.499,75.868,84.203,74.552,82.531,60.69,78.511,75.508,37.981,55.165,27.247,73.672,90.07,80.986,77.51,58.635,72.016,81.745,86.66,77.232,86.304,84.422,71.113,79.438,84.052,73.61,71.443,72.837,44.98,87.249,84.724,75.627,68.173,56.539,62.702,55.276,83.4,88.342,72.334,70.211,70.913,79.819,89.257,75.755,65.663,71.715,37.513,43.173,33.333,72.39,66.165,57.1,59.155,44.132,40.221,67.472,39.899,50.251,67.101,63.819,51.357,58.333,55.622,49.849,36.044,89.759,70.211,73.139,70.251,70.482,57.2,72.644,5.918,13.741,30.792,49.549,86.054,57.601,68.542,12.851,15.748,10.236,7.874,44.094,8.661,0,19.685,2.362,2.362,20.472,7.087,2.362,1.575,0,0,6.299,11.024,10.236,11.811,7.087,9.639,15.957,3.191,37.234,41.489,0,39.362,45.745,26.596,38.298,40.426,29.787,3.191,3.191,12.766,9.574,11.702,4.255,51.042,9.375,25,15.625,3.125,4.167,2.083,2.083,1.042,1.042,3.125,8.333,46.875,13.978,49.462,64.894,40,58.207,68.913,59.457,45.473,69.91,70.211,7.538,76.53
J03_all,Other: Any other ethnic group,1941,69.193,78.299,84.923,73.895,81.924,58.497,78.625,76.34,33.617,56.743,26.97,75.319,92.32,83.049,80.879,60.807,74.252,83.084,86.739,76.998,82.997,81.36,69.386,77.904,82.929,73.641,72.746,70.196,50.903,86.186,83.015,76.534,66.134,57.629,55.82,54.259,79.371,86.371,73.798,74.897,74.059,80.248,90.171,75.853,67.53,70.072,33.247,37.726,29.964,73.475,65.961,59.133,60.64,48.039,43.653,69.72,41.796,48.402,74.781,70.248,61.737,63.674,59.67,54.358,43.676,89.474,66.099,68.889,65.321,75.284,61.511,69.398,5.98,10.868,27.457,55.694,84.512,61.836,66.162,12.958,17.671,15.663,15.261,36.145,11.647,0.402,30.522,10.442,1.606,8.032,11.647,3.213,6.827,2.41,0.402,9.639,13.253,19.679,19.679,4.819,11.798,11.454,2.643,29.515,37.885,0.881,30.396,48.018,24.229,40.969,37.445,24.229,4.405,5.286,9.251,12.775,17.181,2.643,43.111,14.222,33.778,29.778,3.556,3.556,1.333,0.889,2.222,0,3.111,7.556,39.474,13.158,37.281,56.332,24.444,61.131,69.255,61.383,42.456,77.181,74.612,3.784,72.958
J03_all,Other: Arab,396,73.414,80.366,82.197,75.297,80.724,59.07,81.692,79.2,33.754,63.479,25.396,75,92.172,84.557,83.544,65.57,75.949,79.04,85.354,79.798,81.218,83.544,70.96,78.788,82.071,76.904,75.381,70.127,54.04,83.797,81.818,76.456,70.202,55.303,52.284,58.481,78.535,88.354,77.468,82.323,78.788,81.633,92.366,80.303,69.367,73.232,33.838,37.31,30.38,79.545,73.232,64.557,68.687,57.722,51.139,73.791,49.873,52.778,82.828,79.241,65.316,68.939,64.899,64.394,47.462,93.182,71.717,76.01,70.127,82.071,49.747,73.791,5.556,13.636,24.242,56.566,72.519,54.847,71.465,11.869,8.511,10.638,2.128,42.553,12.766,2.128,42.553,14.894,4.255,4.255,14.894,2.128,17.021,2.128,0,2.128,12.766,10.638,27.66,2.128,11.869,17.021,6.383,44.681,40.426,0,40.426,46.809,23.404,38.298,25.532,23.404,6.383,2.128,10.638,14.894,14.894,2.128,47.826,17.391,43.478,21.739,2.174,2.174,0,2.174,2.174,0,0,4.348,41.304,10.87,34.783,58.696,52.632,59.848,69.367,60,45.431,82.828,76.515,6.313,71.717
J03_all,White: Any other White background,10178,67.133,78.362,83.418,73.771,83.35,57.363,81.867,74.906,36.464,56.077,26.381,74.539,91.798,83.684,79.296,59.858,77.192,81.673,85.176,75.342,86.522,85.208,69.436,79.845,83.978,70.657,69.116,72.912,44.425,87.452,84.661,77.921,66.844,55.496,53.456,53.591,83.894,89.129,74.522,79.856,72.14,78.042,90.46,74.635,63.969,70.145,36.265,42.562,30.606,73.054,68.682,55.582,60.766,44.628,38.573,70.617,41.223,51.535,72.111,68.321,56.187,58.828,56.261,54.931,39.911,91.583,70.823,72.659,69.513,80.991,58.669,74.495,5.243,12.951,33.195,48.61,88.922,63.163,74.737,9.128,14.61,11.58,10.173,14.286,18.074,0,29.113,8.983,2.273,10.281,10.714,2.706,2.706,1.84,0.433,4.654,13.745,17.424,22.186,6.926,8.16,12.923,5.676,24.155,41.063,0.966,35.024,46.014,27.778,36.715,32.488,29.589,3.019,3.382,6.28,9.42,16.908,1.57,37.181,12.272,33.779,23.329,5.468,4.01,1.337,2.795,2.795,1.458,2.066,8.627,41.434,19.39,42.597,56.901,28.446,60.864,69.676,58.941,44.063,73.985,76.45,4.995,75.564
J03_all,White: British,208295,64.986,78.993,84.769,74.203,85.06,58.832,82.9,76.016,39.95,55.375,26.283,74.459,91.331,85.219,80.757,61.222,76.411,83.319,86.216,76.243,88.118,85.063,71.22,81.209,83.77,71.511,67.953,73.109,43.773,89.384,86.476,79.327,69.382,53.267,60.895,51.769,85.595,89.994,73.676,82.319,72.808,79.793,88.493,74.506,66.341,74.146,39.292,46.854,33.712,70.952,66.835,57.353,58.725,41.787,38.522,68.928,41.376,53.901,65.903,63.494,56.685,57.043,54.136,52.756,39.606,91.745,73.201,73.819,73.645,83.816,61.632,74.251,4.971,9.583,27.175,58.27,92.627,70.996,76.791,7.886,17.002,13.956,14.689,3.486,14.249,0.085,21.081,1.874,1.349,13.51,9.872,1.838,1.422,2.924,0.696,4.347,18.358,20.085,20.568,6.88,7.02,8.963,3.888,24.873,37.766,0.706,38.054,42.84,23.577,35.578,34.735,23.392,2.284,3.888,7.749,11.295,15.451,2.627,40.828,9.86,29.744,26.152,5.559,1.796,1.259,1.603,1.913,1.073,2.704,8.332,42.738,16.856,44.008,59.679,31.081,60.956,68.7,58.46,45.992,69.644,70.944,5.098,79.505
J03_all,White: Gypsy or Irish Traveller,115,59,68.87,75.652,68.754,78.696,45.87,70.217,69.13,25.652,45.109,32.895,70.57,81.739,77.391,73.043,48.673,64.348,73.913,77.391,70.435,85.965,78.761,60.526,74.783,80.87,71.304,64.348,61.739,38.261,86.087,82.456,68.421,55.652,45.217,39.474,42.609,71.304,77.391,63.478,68.696,65.217,75.652,86.087,65.217,59.13,63.478,27.826,30.702,18.421,63.478,50.435,49.565,48.696,37.391,34.783,49.565,32.456,39.474,56.522,50.435,52.174,43.478,46.957,36.522,26.087,80,63.478,60.87,57.391,69.565,60,57.018,6.957,10.435,21.739,60.87,89.189,72.973,57.658,18.261,25,25,25,15,15,0,15,5,0,20,15,0,5,0,0,10,10,20,10,5,17.391,25,10,35,30,0,45,50,35,35,30,30,0,0,20,10,20,0,47.368,5.263,15.789,31.579,0,0,0,0,0,0,0,15.789,35,10,40,85,[c],53.509,60.526,51.754,38.596,61.739,71.304,10.435,66.957
J03_all,White: Irish,2553,63.477,79.176,82.746,74.151,84.352,57.791,81.361,73.233,35.475,53.254,26.978,74.248,91.379,85.574,81.037,60.832,77.164,80.635,84.841,77.164,87.265,85.197,70.941,81.576,84.437,71.524,67.324,72.545,43.373,89.111,85.939,78.078,65.883,54.299,59.253,51.823,84.594,89.251,73.36,78.205,71.216,77.412,86.934,72.316,62.755,68.77,35.879,40.612,29.965,71.137,65.006,52.452,57.165,40.793,36.314,66.444,39.443,50.529,62.853,60.847,54.224,55.625,52.805,51.92,40.29,89.498,70.913,69.957,71.749,79.333,63.75,72.041,6.564,11.675,31.25,50.511,92.758,69.24,72.684,8.461,18.519,10.648,15.278,14.352,15.741,0,23.148,4.167,0.926,12.5,12.5,1.852,6.944,2.315,0,7.87,15.278,20.37,19.444,4.63,7.912,9.901,4.455,22.772,36.634,0.495,29.703,47.03,29.208,32.673,32.178,28.218,1.98,1.98,8.911,10.396,16.832,1.98,37.129,10.396,32.673,29.208,7.921,2.475,1.485,1.485,0,0.495,0.99,6.931,41.584,16.5,44.776,64.356,30.952,57.899,66.469,57.245,43.839,70.551,70.669,4.816,76.741
J03_all,White: Roma,114,68.909,79.298,80.263,76.199,82.164,60.307,78.509,74.795,38.596,55.08,25.921,76.306,94.737,84.211,78.761,62.832,75.439,78.947,81.579,76.316,82.456,83.186,71.93,81.579,87.719,73.684,76.991,71.053,57.018,86.842,79.825,79.646,71.93,64.912,50.877,53.509,78.07,86.842,73.451,76.316,73.684,71.681,84.211,76.316,69.027,73.684,38.596,46.018,31.579,70.536,62.727,56.25,59.821,46.903,42.982,62.832,40.351,52.679,73.684,72.807,58.772,71.429,60.714,60.177,46.491,88.596,65.789,71.429,66.372,71.93,55.263,70.642,6.25,6.25,24.107,63.393,69.643,56.25,68.807,9.649,9.091,18.182,18.182,9.091,0,0,63.636,9.091,0,18.182,36.364,0,9.091,0,0,0,27.273,54.545,27.273,0,6.14,[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],61.607,71.681,61.404,49.123,73.684,76.316,5.263,75.439
Z08,"Long-term limiting condition, illness or disability",36821,59.269,70.949,80.973,67.529,79.586,50.257,72.58,68.328,29.924,46.044,31.901,68.965,86.105,80.124,73.431,48.727,66.363,79.62,82.323,70.159,83.264,77.659,64.476,73.564,77.313,65.929,61.005,63.387,38.498,85.278,81.502,71.996,61.467,47.195,50.47,41.882,74.695,82.376,62.134,71.096,63.29,72.787,82.792,66.141,59.664,65.299,28.698,35.711,25.381,63.109,56.54,49.715,47.558,34.094,30.912,59.753,31.102,41.66,56.469,52.309,51.378,47.753,44.432,42.763,33.433,85.688,61.189,64.051,62.017,74.221,60.266,64.091,9.059,11.749,25.628,53.565,92.379,69.369,64.231,18.983,15.703,16.061,36.242,9.057,11.44,0.072,18.975,2.885,1.177,26.783,8.655,1.177,2.756,2.411,0.646,4.65,18.659,21.831,17.726,5.784,15.384,11.042,3.84,27.464,37.746,0.938,39.639,46.54,27.11,43.267,41.002,25.146,5.84,6.017,11.856,22.527,18.015,2.407,42.624,9.036,36.517,28.635,4.509,1.811,1.065,1.385,1.953,1.509,3.32,8.148,43.658,13.215,39.438,65.95,42.229,44.044,52.514,41.557,31.565,44.068,40.305,12.306,70.988
Z08,"No long-term limiting condition, illness or disability",210822,66.755,80.392,85.543,75.456,85.663,60.802,84.048,77.696,40.577,57.503,25.344,75.697,92.328,85.788,82.299,63.665,77.839,83.949,87.134,77.524,88.164,85.987,72.516,82.09,84.769,72.788,70.291,74.526,45.829,89.661,86.96,80.376,70.777,55.556,62.248,54.606,86.615,90.853,75.916,82.79,75.074,81.274,89.925,76.739,67.723,75.414,40.166,47.143,34.43,72.964,68.611,59.033,61.166,44.534,41.076,71.16,43.734,55.213,69.328,66.92,58.25,60.13,57.301,55.07,41.206,92.613,74.161,74.875,74.325,83.824,61.975,75.287,4.436,9.678,27.994,57.892,91.138,69.355,77.459,6.8,16.486,12.307,3.731,14.295,15.121,0.112,24.739,3.451,1.47,5.579,10.473,2.093,3.157,2.814,0.637,5.257,16.213,17.795,20.924,7.595,6.148,9.247,3.803,24.768,38.902,0.643,36.981,42.945,22.646,34.913,32.675,24.52,1.502,3.656,6.722,5.917,14.607,2.664,39.643,10.321,29.953,25.391,5.791,2.055,1.253,1.86,1.868,0.989,2.359,8.422,42.643,18.317,45.343,56.361,28.053,64.836,72.572,62.756,48.98,76.846,77.641,3.626,79.88
J04F,Strongly disagree,1265,31.769,39.862,54.427,14.182,43.354,18.986,22.516,34.105,13.729,14.798,65.775,50.588,63.312,54.358,44.048,12.124,25.633,53.913,54.941,11.304,20.413,19.508,12.827,13.834,19.082,14.968,10.46,10.46,9.012,54.632,47.664,27.712,25,18.923,17.405,14.636,16.614,36.479,12.124,24.763,21.028,31.324,63.73,34.707,26.266,27.826,13.212,16.323,11.7,25.079,17.47,20.823,12.916,9.026,10.593,23.18,5.613,8.465,26.82,16.535,26.052,14.32,13.143,8.882,5.142,45.368,13.133,21.712,21.967,29.137,38.924,12.441,40.383,17.638,14.046,27.933,82.258,54.23,18.548,67.722,19.626,25.701,44.626,14.019,16.355,0.35,25.584,4.439,2.921,39.136,12.15,1.986,3.855,4.673,1.636,6.425,26.519,28.505,19.626,3.505,56.532,15.546,4.902,38.235,48.179,2.661,49.3,65.406,46.779,66.387,60.504,34.594,15.826,13.725,24.37,36.695,19.748,2.101,35.393,6.882,71.067,41.994,2.669,1.264,0.702,1.404,1.966,1.966,2.669,4.213,40.986,3.566,14.025,88.169,71.821,23.684,31.55,24.223,24.143,25.576,34.631,25.437,28.288
J04F,Disagree,2375,43.315,49.912,66.863,27.371,55.291,27.691,37.916,45.652,19.347,23.642,52.195,57.511,73.589,65.173,53.167,20.076,37.516,66.231,67.496,25.284,40.574,37.358,24.125,28.234,35.579,26.518,21.317,21.121,13.521,66.021,59.84,39.983,35.326,26.4,27.342,21.726,33.642,54.304,23.005,40.632,34.794,45.025,71.242,46.352,38.059,38.526,18.534,22.587,16.941,39.427,29.059,30.292,22.489,14.49,16.133,34.669,10.046,16.211,37.901,27.3,34.601,22.115,18.695,17.137,10.788,62.484,26.074,37.268,34.022,48.125,46.672,25.676,22.142,19.136,23.412,35.309,86.441,57.082,32.947,48.167,15.891,19.93,36.962,9.482,12.204,0.088,20.281,2.897,1.317,33.889,8.253,1.756,2.809,2.897,0.351,5.356,21.247,26.339,17.998,5.092,36.253,13.504,4.307,30.035,39.814,1.164,45.634,58.324,32.363,55.413,47.031,31.199,7.916,10.943,17.811,29.22,18.51,2.212,40.468,7.368,56.14,31.228,3.392,0.819,1.17,1.871,1.871,1.52,2.924,8.304,40.978,4.756,25.117,80.211,58.974,29.484,37.341,29.001,25.285,29.258,38.017,20.726,39.25
J04F,Neither agree nor disagree,13396,56.031,66.771,76.234,53.206,72.022,41.164,64.784,60.685,27.965,38.822,35.968,67.107,83.879,76.658,68.667,42.079,62.54,74.735,77.733,53.768,72.385,66.876,47.654,60.23,65.218,49.03,43.392,49.076,24.467,79.928,74.402,61.735,51.109,37.509,42.087,33.929,66.455,76.866,51.608,64.207,53.506,63.464,79.193,59.223,51.025,57.808,27.716,32.658,23.517,56.281,48.687,41.963,40.657,26.539,24.281,52.297,24.183,34.598,51.707,45.36,44.914,38.178,34.509,34.64,21.764,81.108,52.163,56.508,55.966,68.912,52.718,55.112,9.918,13.914,28.615,47.552,90.804,62.808,58.005,19.092,18.2,14.858,24.686,8.215,12.5,0.039,21.344,2.83,1.454,21.266,10.259,1.101,2.437,2.594,0.511,5.149,19.418,20.794,19.693,7.193,16.078,9.595,2.934,26.036,35.724,0.605,38.659,45.971,26.875,42.152,40.615,25.477,3.773,4.797,9.362,16.348,17.42,2.422,40.896,8.917,35.621,27.404,5.042,2.054,1.214,1.587,2.428,1.354,3.128,10.271,37.908,11.159,36.961,64.937,37.531,43.11,50.957,41.697,34.524,47.226,49.993,11.343,58.526
