"Demographic variable [1, 5, 6]",Response,Count,ees [2],mw_p [3],op_p [3],lm_p [3],mt_p [3],ld_p [3],if_p [3],rw_p [3],pb_p [3],lc_p [3],HSE_index,PERMA_index,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,B26,B27,B28,B29,B30,B31,B32,B33,B34,B35,B36,B37,B38,B39,B40,B41,B42,B43,B44,B45,B46,B47,B48,B49,B50,B51,B52,B53,B54,B55,B56,B57,B58,B59,B60,C01_1,C01_2,C01_3,C01_4,D01,D02,D03,E01 [4],E02_01,E02_02,E02_03,E02_04,E02_05,E02_06,E02_07,E02_08,E02_09,E02_10,E02_11,E02_12,E02_13,E02_14,E02_15,E02_16,E02_17,E02_18,E02_19,E02_20,E03 [4],E03A_01,E03A_02,E03A_03,E03A_04,E03A_05,E03A_06,E03A_07,E03A_08,E03A_09,E03A_10,E03A_11,E03A_12,E03A_13,E03A_14,E03A_15,E03A_16,E03A_17,E04_01,E04_02,E04_03,E04_04,E04_05,E04_06,E04_07,E04_08,E04_09,E04_10,E04_11,E04_12,E05,E06_A,E06_B,E06_C,E06_D,W01,W02,W03,W04,J04B,W05,W07,W08
Z15,45-54,72022,65.915,80.989,86.358,74.324,85.523,58.869,82.123,76.211,38.715,55.849,26.222,75.367,92.598,87.347,83.064,64.671,77.241,84.937,87.778,76.134,87.255,84.502,72.557,80.558,83.431,72.345,68.399,71.995,45.984,89.439,86.876,80.266,69.773,54.573,59.565,51.565,83.987,89.179,74.243,81.068,73.827,81.144,88.689,74.589,65.584,73.403,38.539,44.669,32.939,71.03,66.624,58.83,58.616,42.791,38.896,70.018,42.76,53.059,66.134,62.769,61.168,58.461,55.251,53.983,42.91,91.262,72.32,72.178,73.245,83.099,63.645,73.337,4.705,7.018,20.984,67.293,93.381,75.719,76.094,8.627,10.903,12.857,15.846,11.032,10.483,0.081,20.869,3.311,1.163,13.148,10.677,0.339,2.374,2.358,0.614,4.668,19.593,18.834,22.323,7.204,7.963,7.461,2.149,24.987,39.315,0.629,37.777,43.159,23.956,37.323,35.506,22.89,2.306,3.984,7.601,10.257,15.691,2.621,38.863,9.163,33.07,26.926,6.635,1.685,1.053,1.668,1.79,1.141,2.563,8.232,42.584,16.164,40.634,59.989,32.603,61.367,69.936,59.628,47.739,71.208,69.929,4.691,78.399
Z15,55,56719,64.028,79.372,85.958,72.965,85.028,54.727,82.204,77.572,34.396,52.169,26.25,75.776,92.205,87.21,83.489,59.806,74.135,84.432,87.479,74.648,86.645,82.156,70.947,79.035,83.044,71.459,65.211,71.232,45.188,90.261,86.601,78.231,71.259,50.431,53.041,44.135,84.354,89.985,74.141,80.313,73.449,82.023,88.774,74.336,69.557,77.277,33.829,40.526,28.848,66.56,63.299,55.186,53.348,39.959,33.621,68.549,39.027,50.005,61.789,56.748,58.782,54.891,51.557,51.159,41.363,91.286,68.544,68.615,73.522,82.725,64.533,72.057,5.613,10.114,25.446,58.827,93.743,78.681,75.73,7.482,27.574,7.195,16.047,9.325,8,0.071,18.201,2.13,0.497,9.728,11.716,0.071,2.249,1.893,0.402,3.763,16.473,18.627,21.467,7.101,6.735,5.468,0.841,19.532,35.095,0.499,32.886,39.511,21.32,33.596,35.305,18.665,2.287,2.918,5.363,7.834,17.324,3.023,36.201,7.625,32.401,25.989,4.459,1.689,1.53,1.398,2.322,1.346,3.377,8.813,41.546,17.044,43.284,57.864,31.024,63.148,72.111,61.725,50.472,74.324,70.407,4.272,77.453
Z06,Ethnic Minority,32028,69.101,78.125,85.49,74.854,83.298,61.423,78.696,77.615,33.542,57.655,26.681,75.036,91.122,83.255,81.604,61.832,72.717,83.458,87.528,78.034,83.836,82.339,72.416,79.039,82.808,73.737,74.584,71.455,50.252,87.19,84.689,78.048,69.881,59.308,59.693,56.753,80.281,86.707,73.975,73.809,75.804,81.642,89.377,78.397,68.12,72.314,33.499,37.397,29.735,73.843,65.89,59.799,60.722,49.488,45.317,71.407,43.9,48.423,74.088,70.599,59.868,65.01,62.05,54.953,41.937,90.461,66.194,69.978,65.343,74.512,62.296,70.472,5.797,11.256,28.749,54.198,84.637,61.226,68.15,12.107,13.638,12.471,11.278,47.005,11.771,0.13,28.908,7.337,1.685,9.178,9.282,1.426,9.048,2.048,0.363,7.985,12.575,16.152,17.501,7.234,9.914,12.663,3.301,29.61,41.669,0.666,38.94,47.826,24.5,44.272,36.496,28.118,4.792,6.601,10.473,10.885,15.805,2.698,41.688,10.07,39.066,27.717,4.412,2.27,1.087,1.982,1.758,1.439,2.909,7.992,45.804,16.128,41.221,56.925,37.986,62.174,70.45,61.641,44.275,76.878,72.654,5.387,73.17
Z06,White,221255,65.066,78.961,84.676,74.181,84.969,58.746,82.826,75.929,39.73,55.377,26.299,74.459,91.35,85.148,80.688,61.149,76.449,83.205,86.145,76.209,88.031,85.067,71.129,81.147,83.788,71.473,68.002,73.086,43.802,89.289,86.381,79.243,69.219,53.384,60.518,51.849,85.494,89.938,73.706,82.148,72.755,79.679,88.562,74.483,66.188,73.894,39.107,46.576,33.516,71.047,66.888,57.211,58.796,41.906,38.499,68.964,41.341,53.745,66.152,63.683,56.632,57.109,54.218,52.841,39.624,91.704,73.056,73.713,73.422,83.621,61.516,74.226,5.004,9.761,27.495,57.741,92.442,70.603,76.632,7.956,16.899,13.805,14.472,4.205,14.461,0.08,21.549,2.285,1.39,13.338,9.971,1.88,1.567,2.855,0.672,4.41,18.073,19.97,20.631,6.849,7.087,9.208,3.996,24.823,37.918,0.716,37.803,43.065,23.889,35.603,34.587,23.787,2.321,3.83,7.705,11.19,15.551,2.558,40.597,9.984,29.971,26.044,5.582,1.925,1.264,1.662,1.944,1.084,2.644,8.335,42.638,16.971,43.931,59.624,30.962,60.913,68.717,58.466,45.877,69.852,71.197,5.093,79.284
J03,White,221255,65.066,78.961,84.676,74.181,84.969,58.746,82.826,75.929,39.73,55.377,26.299,74.459,91.35,85.148,80.688,61.149,76.449,83.205,86.145,76.209,88.031,85.067,71.129,81.147,83.788,71.473,68.002,73.086,43.802,89.289,86.381,79.243,69.219,53.384,60.518,51.849,85.494,89.938,73.706,82.148,72.755,79.679,88.562,74.483,66.188,73.894,39.107,46.576,33.516,71.047,66.888,57.211,58.796,41.906,38.499,68.964,41.341,53.745,66.152,63.683,56.632,57.109,54.218,52.841,39.624,91.704,73.056,73.713,73.422,83.621,61.516,74.226,5.004,9.761,27.495,57.741,92.442,70.603,76.632,7.956,16.899,13.805,14.472,4.205,14.461,0.08,21.549,2.285,1.39,13.338,9.971,1.88,1.567,2.855,0.672,4.41,18.073,19.97,20.631,6.849,7.087,9.208,3.996,24.823,37.918,0.716,37.803,43.065,23.889,35.603,34.587,23.787,2.321,3.83,7.705,11.19,15.551,2.558,40.597,9.984,29.971,26.044,5.582,1.925,1.264,1.662,1.944,1.084,2.644,8.335,42.638,16.971,43.931,59.624,30.962,60.913,68.717,58.466,45.877,69.852,71.197,5.093,79.284
J03,Mixed,4987,66.501,77.813,83.373,74.126,83.203,60.069,79.229,73.994,38.27,55.979,27.081,74.076,90.67,82.676,79.385,60.59,75.823,81.404,85.333,76.911,86.756,84.574,70.255,80.919,84.052,72.346,70.46,72.575,42.387,87.593,84.62,77.45,66.981,56.457,60.864,55.964,83.457,87.249,72.53,73.741,71.609,77.662,89.217,74.382,63.193,67.931,38.024,43.873,32.898,73.394,67.069,57.192,60.832,43.488,40.289,68.168,41.568,51.798,69.543,67.591,55.685,59.349,56.463,53.515,38.188,90.08,70.892,71.265,69.32,74.337,59.094,72.689,6.157,12.998,33.4,47.445,88.9,60.61,70.362,12.284,17.049,11.475,13.279,37.049,14.426,0,27.541,3.934,1.311,13.443,9.836,1.803,5.41,2.295,0.492,7.869,14.918,15.246,17.213,6.066,10.393,13.645,3.314,29.045,42.3,0.39,38.986,46.784,27.68,38.791,36.062,30.799,3.704,5.263,11.306,12.086,16.374,2.534,45.72,10.895,34.047,23.346,4.28,3.307,1.946,2.14,2.335,1.751,3.307,7.393,46.693,16.406,46.094,62.622,35.565,60.367,67.695,58.736,43.405,70.245,70.141,6.045,76.329
J03,Asian,16370,69.918,78.403,85.761,74.994,82.994,60.918,79.491,78.082,33.498,58.159,26.669,74.473,90.851,83.972,81.704,62.845,72.525,83.852,87.674,78.289,83.349,82.316,72.695,78.805,82.019,73.651,75.238,71.579,51.945,86.772,84.415,77.784,69.675,58.902,58.888,56.16,80.538,86.894,74.409,76.122,75.937,82.264,88.788,78.844,69.314,73.281,33.798,36.971,29.688,72.834,65.779,59.72,61.067,50.912,47.223,71.219,45.56,48.978,75.886,72.376,61.895,66.605,63.604,54.653,42.618,91.241,66.336,69.989,64.061,76.198,63.095,69.873,5.603,10.881,28.652,54.864,83.819,61.098,68.893,11.667,13.663,13.925,11.193,44.929,11.771,0.158,29.743,7.147,2.102,9.564,8.303,1.576,13.452,1.839,0.473,7.882,13.452,18.077,17.761,7.252,9.677,12.468,3.817,29.898,40.903,0.7,41.476,47.774,22.837,47.01,37.341,28.753,5.089,8.142,10.687,11.323,15.776,2.29,42.078,9.557,40.86,28.48,4.618,1.539,0.77,2.309,1.539,1.732,2.758,7.569,46.335,15.039,41.105,56.409,41.564,61.115,68.732,60.316,42.297,75.552,70.43,5.835,72.862
J03,Black,8334,68.83,77.616,86.513,75.219,84.393,64.018,76.687,79.087,30.77,57.603,26.456,76.665,91.596,82.181,82.815,60.648,70.725,84.212,88.841,78.364,83.361,81.209,73.94,78.65,83.62,74.611,76.167,70.898,51.307,88.167,85.797,79.353,72.877,62.401,61.829,58.891,78.17,86.013,73.864,68.649,78.318,83.129,90.304,80.429,68.811,73.516,30.237,34.278,27.85,75.911,65.037,61.443,59.617,50.235,44.69,73.996,42.235,45.104,72.697,68.579,57.695,65.392,62.763,56.093,42.174,89.256,62.857,69.151,65.257,70.766,63.42,70.416,5.934,10.926,26.662,56.478,84.325,62.01,65.668,12.68,10.878,9.733,9.733,59.351,10.21,0,27.195,8.588,1.05,6.489,9.924,0.477,3.34,2.195,0.095,8.111,9.447,12.595,16.221,8.683,9.559,12.5,2.273,28.535,43.939,0.758,36.237,48.611,25.884,43.687,35.48,26.515,4.924,5.051,9.848,8.46,15.152,3.662,37.5,8.929,40.051,28.827,4.464,2.679,1.148,1.531,1.658,1.148,3.061,9.566,46.261,19.285,39.796,54.326,34.986,65.703,75.827,66.13,49.068,83.108,77.896,4.439,72.005
J03,Other ethnic group,2337,69.91,78.649,84.461,74.133,81.721,58.594,79.145,76.825,33.64,57.885,26.706,75.265,92.295,83.305,81.33,61.614,74.539,82.398,86.504,77.473,82.696,81.732,69.653,78.054,82.784,74.194,73.193,70.184,51.436,85.782,82.812,76.521,66.824,57.235,55.221,54.974,79.229,86.707,74.421,76.156,74.861,80.482,90.542,76.609,67.842,70.608,33.348,37.656,30.034,74.506,67.196,60.051,62.007,49.679,44.921,70.409,43.163,49.144,76.146,71.772,62.344,64.567,60.557,56.06,44.316,90.103,67.052,70.099,66.137,76.435,59.511,70.142,5.908,11.341,26.908,55.843,82.426,60.621,67.084,12.773,16.216,14.865,13.176,37.162,11.824,0.676,32.432,11.149,2.027,7.432,12.162,3.041,8.446,2.365,0.338,8.446,13.176,18.243,20.946,4.392,11.81,12.409,3.285,32.117,38.321,0.73,32.117,47.81,24.088,40.511,35.401,24.088,4.745,4.745,9.489,13.139,16.788,2.555,43.911,14.76,35.424,28.413,3.321,3.321,1.107,1.107,2.214,0,2.583,7.011,39.781,12.774,36.861,56.727,29.358,60.913,69.274,61.147,42.962,78.14,74.936,4.215,72.747
J03_all,Asian: Any other Asian background,2447,70.894,80.429,86.269,75.99,83.149,62.963,79.221,78.893,37.716,61.109,26.265,74.722,91.336,86.283,82.51,66.339,75.542,84.096,88.43,78.913,82.855,81.878,74.036,77.669,82.22,75.657,77.135,73.634,55.738,86.375,84.193,78.863,69.992,64.005,57.612,60.295,79.346,85.199,75.574,76.728,76.268,83.784,90.435,78.398,71.066,73.303,39.189,42.056,31.943,75.777,67.882,63.08,63.54,54.65,51.33,72.992,48.711,51.862,78.405,72.943,65.68,68.062,65.248,58.681,46.991,91.255,67.581,72.511,65.123,77.282,61.977,68.784,4.895,11.148,28.712,55.245,82.234,62.433,68.35,11.534,13.83,7.801,7.447,42.908,12.057,0.355,30.851,8.865,2.482,7.092,7.447,2.128,10.638,0.709,0.355,8.865,9.929,13.83,21.277,6.738,10.225,14,4.8,30.4,40,0.8,40.4,42.4,21.2,46,32.8,26.4,5.6,6.4,10,9.2,16.8,2.4,38.367,9.796,39.184,26.122,4.082,2.857,1.224,4.082,1.224,1.224,2.041,7.347,41.935,15.638,45.935,52.823,34.615,61.737,70.765,61.561,41.002,77.76,75.276,4.682,73.044
